Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR,Agent Played
Cloud9,2,Complexity,0,2 Haven,TenZ,306,22,/ 12 /,6,,178,reyna
Envy,2,Cloud9,0,1 Ascent,TenZ,282,23,/ 15 /,8,,173,reyna
Envy,2,Cloud9,0,2 Split,TenZ,284,19,/ 16 /,3,,248,raze
Sentinels,2,Cloud9,1,1 Split,TenZ,271,23,/ 15 /,8,,157,raze
Sentinels,2,Cloud9,1,2 Bind,TenZ,357,22,/ 14 /,3,,233,reyna
Sentinels,2,Cloud9,1,3 Haven,TenZ,312,26,/ 19 /,6,,229,reyna
Cloud9,2,Envy,1,1 Split,TenZ,314,18,/ 16 /,2,,181,reyna
Cloud9,2,Envy,1,2 Ascent,TenZ,232,20,/ 15 /,5,,137,reyna
Cloud9,2,Envy,1,3 Haven,TenZ,253,24,/ 19 /,9,,165,reyna
Cloud9,2,Dignitas,0,1 Haven,TenZ,307,16,/ 6 /,7,,157,reyna
Cloud9,2,Dignitas,0,2 Ascent,TenZ,194,13,/ 16 /,6,,162,reyna
Cloud9,2,Gen.G,1,1 Split,TenZ,258,18,/ 15 /,5,,132,reyna
Cloud9,2,Gen.G,1,2 Ascent,TenZ,333,23,/ 13 /,5,,201,reyna
Cloud9,2,Gen.G,1,3 Bind,TenZ,272,18,/ 9 /,4,,171,reyna
Immortals,2,Cloud9,1,1 Ascent,TenZ,249,27,/ 20 /,2,,147,jett
Immortals,2,Cloud9,1,2 Bind,TenZ,239,15,/ 15 /,4,,138,raze
Immortals,2,Cloud9,1,3 Haven,TenZ,307,27,/ 16 /,0,,162,jett
Cloud9,2,FaZe Clan,1,1 Haven,TenZ,194,9,/ 15 /,2,,124,jett
Cloud9,2,FaZe Clan,1,2 Ascent,TenZ,231,17,/ 17 /,4,,145,jett
Cloud9,2,FaZe Clan,1,3 Split,TenZ,327,25,/ 15 /,1,,160,jett
Envy,2,Cloud9,1,1 Split,TenZ,288,23,/ 20 /,8,,180,raze
Envy,2,Cloud9,1,2 Ascent,TenZ,228,15,/ 15 /,5,,140,jett
Envy,2,Cloud9,1,3 Bind,TenZ,256,15,/ 14 /,5,,173,raze
Cloud9,2,TSM,1,1 Haven,TenZ,,13,/ 17 /,3,,,jett
Cloud9,2,TSM,1,2 Split,TenZ,222,15,/ 22 /,8,,190,raze
Cloud9,2,TSM,1,3 Bind,TenZ,435,28,/ 10 /,7,,244,raze
Cloud9,2,Renegades,0,1 Ascent,TenZ,281,22,/ 16 /,4,,159,jett
Cloud9,2,Renegades,0,2 Haven,TenZ,365,25,/ 13 /,4,,212,jett
Sentinels,3,Cloud9,1,1 Ascent,TenZ,326,25,/ 23 /,5,,,jett
Sentinels,3,Cloud9,1,2 Haven,TenZ,339,21,/ 15 /,6,,,jett
Sentinels,3,Cloud9,1,3 Bind,TenZ,268,20,/ 18 /,4,,,raze
Sentinels,3,Cloud9,1,4 Split,TenZ,246,16,/ 17 /,2,,,viper
Cloud9,2,Homeless,0,1 Bind,TenZ,279,21,/ 14 /,7,,,raze
Cloud9,2,Homeless,0,2 Ascent,TenZ,259,16,/ 12 /,9,,,jett
Cloud9,2,Immortals,0,1 Ascent,TenZ,303,21,/ 13 /,8,,,jett
Cloud9,2,Immortals,0,2 Bind,TenZ,342,23,/ 19 /,8,,,raze
Cloud9,2,Team Owl,0,1 Haven,TenZ,318,21,/ 11 /,6,,,jett
Cloud9,2,Team Owl,0,2 Ascent,TenZ,309,20,/ 7 /,1,,,jett
Sentinels,2,Cloud9,0,1 Ascent,TenZ,282,21,/ 16 /,4,,,jett
Sentinels,2,Cloud9,0,2 Bind,TenZ,190,14,/ 19 /,2,,,raze
Cloud9,2,Renegades,1,1 Ascent,TenZ,340,22,/ 15 /,5,,,jett
Cloud9,2,Renegades,1,2 Split,TenZ,176,9,/ 15 /,2,,,jett
Cloud9,2,Renegades,1,3 Bind,TenZ,406,25,/ 16 /,5,,,raze
Cloud9,2,Complexity,0,1 Ascent,TenZ,461,24,/ 11 /,2,,,jett
Cloud9,2,Complexity,0,2 Haven,TenZ,439,30,/ 6 /,2,,,jett
Cloud9,2,Gen.G,0,1 Split,TenZ,253,17,/ 13 /,5,,,jett
Cloud9,2,Gen.G,0,2 Bind,TenZ,406,25,/ 11 /,9,,,raze
Cloud9,2,Echo 8,0,1 Haven,TenZ,241,19,/ 21 /,5,,,jett
Cloud9,2,Echo 8,0,2 Ascent,TenZ,236,19,/ 14 /,6,,,reyna
Cloud9,2,Way 2 French,0,1 Haven,TenZ,391,24,/ 13 /,3,,,jett
Cloud9,2,Way 2 French,0,2 Ascent,TenZ,370,20,/ 5 /,2,,,viper
Gen.G,2,Cloud9,0,1 Bind,TenZ,184,10,/ 15 /,5,,,jett
Gen.G,2,Cloud9,0,2 Ascent,TenZ,228,14,/ 17 /,2,,,jett
Cloud9,2,together we are terrific,0,1 Ascent,TenZ,318,23,/ 15 /,0,,,jett
Cloud9,2,together we are terrific,0,2 Bind,TenZ,332,20,/ 10 /,3,,,jett
Cloud9,2,TSM,1,1 Ascent,TenZ,455,24,/ 5 /,3,,,jett
Cloud9,2,TSM,1,2 Bind,TenZ,201,15,/ 16 /,1,,,jett
Cloud9,2,TSM,1,3 Haven,TenZ,331,27,/ 16 /,3,,,jett
Cloud9,2,FaZe Clan,1,1 Bind,TenZ,365,30,/ 15 /,1,,,jett
Cloud9,2,FaZe Clan,1,2 Haven,TenZ,298,26,/ 19 /,4,,,jett
Cloud9,2,FaZe Clan,1,3 Ascent,TenZ,368,19,/ 9 /,3,,,jett
Prospects,2,Cloud9,0,1 Bind,TenZ,214,19,/ 15 /,4,,,jett
Prospects,2,Cloud9,0,2 Bind,TenZ,232,15,/ 14 /,2,,,jett
together we are terrific,2,Cloud9,0,1 Haven,TenZ,451,39,/ 16 /,2,,,jett
together we are terrific,2,Cloud9,0,2 Split,TenZ,207,16,/ 18 /,4,,,viper
TSM,2,Cloud9,0,1 Ascent,TenZ,263,20,/ 18 /,6,,,sage
TSM,2,Cloud9,0,2 Bind,TenZ,286,17,/ 16 /,3,,,jett
Cloud9,2,Gen.G,0,1 Split,TenZ,292,24,/ 16 /,3,,,jett
Cloud9,2,Gen.G,0,2 Bind,TenZ,278,15,/ 13 /,7,,,jett
Cloud9,2,MIXUP,1,1 Bind,TenZ,460,36,/ 18 /,10,,,raze
Cloud9,2,MIXUP,1,2 Split,TenZ,377,21,/ 13 /,2,,,raze
Cloud9,2,MIXUP,1,3 Ascent,TenZ,409,34,/ 17 /,4,,,sage
